title,author,url,year,band,nummer
Das Bilderrätsel als Denkmodell der Moderne,Claudia Hattendorff,https://journals.ub.uni-heidelberg.de/index.php/kchronik/article/view/93290/88029,2019,72,12
Die Hamburger Schule. Eine Ausstellung zum Doppeljubiläum der Hamburger Universität und der Hamburger Kunsthalle,Susanne König,https://journals.ub.uni-heidelberg.de/index.php/kchronik/article/view/93291/88030,2019,72,12
„Per alcune non imaginate vie“. Jacopo Tintoretto zum 500. Geburtstag,Maria Aresin,https://journals.ub.uni-heidelberg.de/index.php/kchronik/article/view/93292/88031,2019,72,12
Zwischenruf: Welche Zukunft hat das wissenschaftliche Publizieren?,Hubertus Kohle,https://journals.ub.uni-heidelberg.de/index.php/kchronik/article/view/93284/88023,2019,72,11
Verschreibungen und Bestallungen: Quellenkritische Überlegungen zu Lucas Cranach dem Älteren,Thomas Lang,https://journals.ub.uni-heidelberg.de/index.php/kchronik/article/view/93285/88024,2019,72,11
„Ut pictura amor“. Liebe als Gegenstand kunstwissenschaftlicher Forschung,Romana Sammern,https://journals.ub.uni-heidelberg.de/index.php/kchronik/article/view/93286/88025,2019,72,11
Mitteilungen des Zentralinstituts für Kunstgeschichte,Romana Sammern,https://journals.ub.uni-heidelberg.de/index.php/kchronik/article/view/93287/88026,2019,72,11
Arbeit an der Sprache. Poesie und Performance in Osteuropa,Seraina Renz,https://journals.ub.uni-heidelberg.de/index.php/kchronik/article/view/93274/88003,2019,72,9
Utopisch oder kybernetisch? Architektur und Kunst in der DDR,Valentin Hammerschmidt,https://journals.ub.uni-heidelberg.de/index.php/kchronik/article/view/93276/88004,2019,72,9
Nationaler Traditionsbau oder Freiluftpavillons? Schulen der Nachkriegszeit – auf Demokratie gebaut,Regine Hess,https://journals.ub.uni-heidelberg.de/index.php/kchronik/article/view/93277/88007,2019,72,9
Theo van Doesburgs Farblehre und die künstlerische Ausgestaltung des Jenaer Stadttheaters,"Herman van Bergeijk, Sjoerd van Faassen",https://journals.ub.uni-heidelberg.de/index.php/kchronik/article/view/93253/87981,2019,72,8
Pontormo Restored: New and “Miraculous” Encounters with the Painter,Molly Bond,https://journals.ub.uni-heidelberg.de/index.php/kchronik/article/view/93254/87982,2019,72,8
Paradigmenwechsel. Eine neue Bildidee – und ein innovativer Zugang zu ihr,Matthias Weniger,https://journals.ub.uni-heidelberg.de/index.php/kchronik/article/view/93255/87983,2019,72,8
Maria hat Konjunktur! Zur Wiederentdeckung der Frömmigkeit für die Kunstgeschichte,Esther P. Wipfler,https://journals.ub.uni-heidelberg.de/index.php/kchronik/article/view/93256/87984,2019,72,8
An Overview of Late Gothic Architectural Culture in the Holy Roman Empire – going beyond the canon,Robert O. Bork,https://journals.ub.uni-heidelberg.de/index.php/kchronik/article/view/93257/87985,2019,72,8
Transformative Ornament for the Priest in Durandus’ Rationale and its Illuminations,Juliette Calvarin,https://journals.ub.uni-heidelberg.de/index.php/kchronik/article/view/93245/87974,2019,72,7
More Than Mere Ornament: The Cultural Impact of the Grotesque,Luke Morgan,https://journals.ub.uni-heidelberg.de/index.php/kchronik/article/view/93247/87975,2019,72,7
Das Ornament in der Moderne – Forschungsstand und Methodik,Jennifer Bleek,https://journals.ub.uni-heidelberg.de/index.php/kchronik/article/view/93248/87976,2019,72,7
